route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
394-203,2854-6f600908,Paerata Road,13,2.0505455498595424,3.5166666666666666
394-203,2824-b9bf187d,Simmonds House Road,14,0.2997268479811612,0.4666666666666667
394-203,2826-23d3e76e,Paerata School,15,10.100938389684174,20.0
394-203,2716-29bbacfe,Papakura Station,16,,
865-203,4229-7b2b4fbf,Stop D Albany Bus Station,1,0.4346455588819729,2.4166666666666665
865-203,4341-d912150d,McClymonts Road/Kerekin Drive,2,0.3235956577863538,1.0666666666666667
865-203,4230-f56f32c5,Pinehill School,3,0.41795199281749956,1.4333333333333333
865-203,3181-99d91451,Bundoran Way,4,0.43311310723053076,1.6166666666666667
865-203,4137-9d6cab33,Hauraki Crescent,5,0.3168135757704989,1.7166666666666666
865-203,3146-bcdcc837,Oaktree Avenue,6,0.22652495955962743,0.85
865-203,3144-4b9cd5c3,Langana Avenue,7,0.3811387753421205,1.2666666666666666
865-203,3140-eb860601,Weetman Drive,8,0.35628437796830265,1.2166666666666666
865-203,3136-8dec8c25,Redwing Street,9,0.36941657699058966,1.2166666666666666
865-203,3134-754cb752,Hollyhock Place,10,0.1831145190413635,0.6666666666666666
865-203,3115-dd5f8893,Oaktree Avenue,11,0.6259714596979694,2.066666666666667
865-203,3111-ef202720,Anzac Road/Beach Road,12,0.37838410593946786,1.4666666666666666
865-203,3122-274030a1,Browns Bay Shops,13,,
11W-202,1005-c105552e,Stop D Lower Albert,1,0.568315662981944,3.816666666666667
11W-202,7030-621caa72,Victoria Street West,2,0.34589341066531226,1.8666666666666667
11W-202,7082-6e0c4fef,St Matthews-in-the-City,3,0.27036077538065206,1.5
11W-202,7084-4da5d2dd,Nicholas Street,4,0.33476976946091824,1.9333333333333333
11W-202,1524-2e7e0ebb,YMCA,5,0.40482603157260777,2.8833333333333333
11W-202,7136-7b4dffe1,Rainbow Bridge/Karangahape Road,6,0.35353172629978147,1.0833333333333333
11W-202,8100-08cef0ad,Ponsonby Road,7,0.22991832749556934,0.7
11W-202,8102-7250bcd8,Burns Street,8,0.29926954650143445,0.9
11W-202,8104-8bfd88ba,Sussex Street,9,0.21061994640291629,0.6333333333333333
11W-202,8106-95c39e43,King Street,10,0.23543864541565296,0.7166666666666667
11W-202,8108-01016126,Bond Street,11,0.39488127403910106,1.1833333333333333
11W-202,8112-dbbd55df,St Joseph's Church,12,0.2565964383455886,0.8166666666666667
11W-202,8114-f4e4a02c,Great North Road/Grey Lynn Shops,13,0.2835390592949523,1.0333333333333334
11W-202,8118-170afaad,Great North Road/Grey Lynn School,14,0.44293182113143137,1.4166666666666667
11W-202,8120-1485cc06,Bullock Track,15,0.6213975895883466,1.9
11W-202,8122-89235838,Western Springs Park & MOTAT,16,0.43734956392840807,1.3
11W-202,8124-c7d84961,Auckland Zoo,17,0.35220969274950753,1.05
11W-202,8126-d353d90c,Pasadena Shops,18,0.21435861081853844,0.6666666666666666
11W-202,8128-bec6b4a3,Walmer Road,19,0.21949464493850776,0.6666666666666666
11W-202,8130-197d3cff,Great North Road/Pt Chevalier Shops,20,5.392540708796442,16.933333333333334
11W-202,5061-8fccf5dd,Stop D Te Atatu Bus Interchange,21,2.058729656844141,5.0
11W-202,5935-65f6f8d2,Stop F Lincoln Bus Interchange,22,0.2232518015333255,0.8666666666666667
11W-202,5613-d8443403,RNZ Radio Masts,23,0.7217814551185076,2.1333333333333333
11W-202,5615-881dbbf0,Huruhuru Road,24,0.5001114466228437,1.55
11W-202,5618-0fb24f71,Chorley Avenue,25,0.198297569335917,0.5333333333333333
11W-202,5620-f26cdceb,Keegan Drive,26,0.3392101083439877,0.9
11W-202,5622-746eab16,Dovey Place,27,0.3890569828871717,1.2666666666666666
11W-202,5601-8a075afb,Waimumu Road,28,0.15363581468570753,0.6
11W-202,5599-369f5d78,Talmar Place,29,0.24371355094483663,0.8333333333333334
11W-202,5597-3164b496,Gallony Avenue,30,0.3560921192059024,0.9166666666666666
11W-202,5595-496ef321,7 Reynella Drive,31,0.12149111574205206,0.48333333333333334
11W-202,5625-9b8591ee,Faram Place,32,0.41477235332850604,1.3333333333333333
11W-202,1669-4bf968cf,Yule Place,33,0.29528029769670733,1.05
11W-202,5567-b38a5324,Beauchamp Drive,34,0.20624519989458284,0.5333333333333333
11W-202,5565-373697bc,Royal Road/Don Buck Road roundabout,35,0.09130794408647726,0.5166666666666667
11W-202,5574-cbef2d00,Royal Road roundabout,36,0.41212798114837024,1.1
11W-202,5902-ca8fa3d1,St Paul's School,37,0.2804881484602088,0.7333333333333333
11W-202,1548-470f42e7,Massey Leisure Centre,38,0.3850506756880261,1.3666666666666667
11W-202,1599-7b11ac3b,Stop B Westgate,39,0.5047242590102876,1.3166666666666667
11W-202,5991-fe74ede0,Tawhia Drive/Rotu Drive,40,0.34268033405792386,0.9666666666666667
11W-202,5941-0575e04d,NorthWest Shopping Centre,41,,
501-217,1134-3f27d794,Matiatia Terminal,1,0.6630236125566222,1.5
501-217,1143-adc3bbe2,Owhanake Car Park,2,0.6902100277181874,1.5666666666666667
501-217,1151-8c367565,Waiheke Library,3,0.12752695677384177,0.3
501-217,1153-cfdac820,Ocean View Road/Oneroa Village,4,0.29608743022381073,0.6333333333333333
501-217,1155-a7cc8152,Ocean View Road/Tui Street,5,0.49055933121173995,1.0
501-217,1171-426cda32,Moa Avenue,6,0.6773683803711904,1.3166666666666667
501-217,1173-6204102e,Frank Street,7,0.3853615856804832,0.8
501-217,1154-2c0ac8f9,Tetley Road,8,0.32791494416408884,0.8833333333333333
