route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
106-202,7106-026b649d,Victoria Park Market,4,-36.8482,174.7548,0.900892857142857,0.1966027978526004
106-202,1349-1930ba18,New World Victoria Park,5,-36.84867,174.75267,1.9404761904761902,0.43143116407381976
106-202,7270-2dc02230,Franklin Road,6,-36.85166,174.74958,1.030952380952381,0.2678136604282859
106-202,7267-ac893729,Freemans Bay School,7,-36.85236,174.75246,1.1145833333333333,0.24660873458193683
106-202,7237-3e2dea08,Howe Street/Western Park,8,-36.85406,174.75424,0.9175595238095238,0.2380207830601845
106-202,7235-ad54bf45,Auckland Girls' Grammar,9,-36.85618,174.75461,0.6994047619047619,0.17929689817378086
106-202,7233-ada0733c,Hopetoun Street,10,-36.85778,174.75486,0.8806547619047619,0.13939542343757863
106-202,7135-b1ba3584,Rainbow Bridge/Karangahape Road,11,-36.85805,174.75639,1.5550595238095237,0.3964213852217197
106-202,7131-cf2b5a78,Karangahape Road/Queen Street,12,-36.85787,174.76084,2.38125,0.2359092541298414
106-202,7061-10099e39,Queen Street/Myers Park,13,-36.85603,174.76216,2.6895833333333337,0.3086253188226208
106-202,7059-607e2a63,Auckland Town Hall,14,-36.85342,174.76334,3.56875,0.4152895695604443
106-202,7053-154c6c71,Wellesley Street,15,-36.8499,174.7649,4.699702380952381,0.5460783108985836
106-202,1325-8876cfe3,Britomart Te Komititanga,16,-36.84513,174.76636,,
111-206,5959-cc4bb279,Kedgley Road/Maki Street,1,-36.81504,174.60964,1.2085271317829458,0.430010820166802
111-206,5990-ad2ea439,Tawhia Drive/Kohuhu Lane,2,-36.81876,174.60832,1.0972868217054264,0.4688626097573243
111-206,1592-5cb98cf9,Stop C Westgate,3,-36.82239,174.611,0.6213178294573644,0.2198425045980221
111-206,1590-890fe95b,Maki Street South,4,-36.82214,174.61345,0.7686046511627906,0.31981086574347567
111-206,1588-98d54bcf,Tihema Lane,5,-36.82454,174.61543,0.7186046511627907,0.3359266154171193
111-206,1586-da659255,Alloway Street,6,-36.82756,174.61553,0.8658914728682171,0.34091624630020423
111-206,1526-c319f285,Mcwhirters Farm Lane,7,-36.83061,174.61592,0.5972868217054264,0.17376107701563961
111-206,5580-f87eba88,Royal Road School,8,-36.83183,174.61714,1.191860465116279,0.4932358337064642
111-206,5582-1806b429,Royal Heights Shopping Centre,9,-36.83332,174.62236,0.6786821705426357,0.2501477018883162
111-206,5584-65bd1867,Royal Road/Colwill Road,10,-36.8343,174.62489,0.741860465116279,0.3230091657414083
111-206,5586-0757a3a1,Redwood Drive,11,-36.83699,174.62626,0.45930232558139533,0.18410294156773316
111-206,5588-0294b3e5,66 Colwill Road,12,-36.83782,174.62805,0.6213178294573644,0.25871239382601807
111-206,5590-973e9c93,96 Colwill Road,13,-36.83666,174.63057,0.563953488372093,0.2253666807023499
111-206,5592-477fabad,Kintara Drive,14,-36.83625,174.63305,1.0139534883720929,0.4280485047568397
111-206,5594-e2db4cfe,Spargo Road,15,-36.8333,174.63614,1.0705426356589147,0.3938361644850821
111-206,5581-6dceba32,Spargo Road,16,-36.83066,174.63319,0.563953488372093,0.18351434272700246
111-206,1666-73ee8230,Moire Park,17,-36.83042,174.63115,0.9565891472868217,0.379153949119566
111-206,1668-97935e70,Petrel Place walkway,18,-36.82903,174.62726,0.751937984496124,0.31405062405699036
111-206,1670-7443faaf,Moire Road,19,-36.82784,174.62406,0.5472868217054264,0.17599041964871798
111-206,5637-5d9e4a97,Glenbury Place,20,-36.82911,174.62288,0.8325581395348837,0.3647599488165321
111-206,5635-dcfe95ca,Good Shepherd Anglican Church,21,-36.83227,174.62178,1.0472868217054263,0.4165617190553996
111-206,5571-a3144d16,Royal Road School,22,-36.83192,174.61712,0.7852713178294574,0.256890243267306
111-206,1591-916cb3b8,Mcwhirters Farm Lane,23,-36.82983,174.61589,0.7825581395348837,0.329735146309572
111-206,1593-c93038b9,Alloway Street,24,-36.82694,174.61506,0.7046511627906977,0.2959123979638323
111-206,1595-09e7b151,Tihema Lane,25,-36.82428,174.61516,0.7926356589147288,0.30034124489447
111-206,1597-03dc6bd7,Maki Street South,26,-36.82226,174.61292,0.563953488372093,0.1821954291151195
111-206,1599-7b11ac3b,Stop B Westgate,27,-36.82247,174.61089,1.1612403100775195,0.5047242590102876
111-206,5991-fe74ede0,Tawhia Drive/Rotu Drive,28,-36.81856,174.60801,0.8492248062015504,0.34268033405792386
111-206,5941-0575e04d,NorthWest Shopping Centre,29,-36.81628,174.6106,,
112-206,5883-d620d9de,Hobsonville Point Terminal,1,-36.78861,174.67166,1.4320402298850576,0.4411871796481848
112-206,1551-5c33d3f6,Hudson Bay Road/Buckley Avenue,2,-36.7886,174.66654,1.9347701149425287,0.5914252839988541
112-206,1531-5dcce673,Isitt Road,3,-36.79065,174.6631,0.6987068965517241,0.25048796169667187
112-206,1665-8b2e6296,Hobsonville Point Primary School,4,-36.79313,174.66098,0.9287356321839081,0.3323891586650779
112-206,1647-bba0c1b4,Hobsonville Point Secondary,5,-36.79512,174.65646,1.2067528735632183,0.43118304535352975
112-206,5809-9b1e4154,Hobsonville War Memorial Park,6,-36.79797,174.64924,0.5966954022988505,0.21596534836277234
112-206,5680-1c86e7ba,Hobsonville Town Centre,7,-36.79869,174.64853,1.2320402298850575,0.4456823264851278
112-206,5682-f998849d,Williams Road,8,-36.80179,174.64592,0.760632183908046,0.2674136591507304
112-206,5684-88edfc8d,86 Wiseley Road,9,-36.80379,174.64405,1.1222701149425287,0.366416792387517
112-206,5686-181276aa,Mako Street,10,-36.80731,174.64134,0.8781609195402298,0.3291676842493317
112-206,1672-5cf8837d,Clearwater Cove,11,-36.80934,174.64097,1.007183908045977,0.35315035011028784
112-206,5672-7ec89835,Marina View Reserve,12,-36.81091,174.63907,1.190948275862069,0.4272530443018593
112-206,5674-51fb773c,Marina View School,13,-36.81512,174.64134,1.3573275862068965,0.4644964162946555
112-206,5651-0f6b4e24,Renoir Street,14,-36.8183,174.64104,0.626580459770115,0.22014752694479311
112-206,5653-e7a1b1f7,West Harbour Drive,15,-36.82006,174.63934,0.5491379310344828,0.20487047058425417
112-206,5655-efb51f36,Graceview Way,16,-36.82062,174.63705,0.9012931034482758,0.3397226857201242
112-206,5657-80a585ed,Matisse Drive,17,-36.82024,174.63447,0.7429597701149425,0.28222251742277865
112-206,5659-ed549283,Pahi Park,18,-36.81994,174.6317,0.9413793103448276,0.3201189478909387
112-206,5647-4b4a0bbc,West Harbour Church,19,-36.81961,174.62924,0.5429597701149426,0.18883874161025213
112-206,5645-924c634c,Rena Place,20,-36.82101,174.62815,1.0136494252873562,0.39311471542093973
112-206,5643-bd03bf8b,Elizabeth Drive,21,-36.82131,174.62669,1.5538793103448276,0.5423783101944089
112-206,5675-5c4da3a9,Manutewhau Walk,22,-36.82368,174.62184,0.7449712643678161,0.27574562284352855
112-206,5673-8554b87c,Oreil Avenue/Fitzherbert Avenue,23,-36.8229,174.61944,0.737787356321839,0.27793412370853804
112-206,5677-d9fd1c6a,Westgate Pedestrian Bridge,24,-36.82188,174.61732,1.2410919540229886,0.3946436519267882
112-206,5671-6c8efd55,St Catherine Crescent,25,-36.82008,174.61601,0.5653333333333334,0.19450082565326696
112-206,5667-5e35d67e,Hobsonville Road/Oriel Avenue,26,-36.81841,174.61666,0.057666666666666665,0.7701670565125389
112-206,5991-fe74ede0,Tawhia Drive/Rotu Drive,27,-36.81856,174.60801,1.0716666666666668,0.34268033405792386
112-206,5941-0575e04d,NorthWest Shopping Centre,28,-36.81628,174.6106,,
114-206,5883-d620d9de,Hobsonville Point Terminal,1,-36.78861,174.67166,1.0838308457711443,0.443168898314436
114-206,1551-5c33d3f6,Hudson Bay Road/Buckley Avenue,2,-36.7886,174.66654,1.4328358208955223,0.5979400529768284
114-206,1531-5dcce673,Isitt Road,3,-36.79065,174.6631,0.5932835820895522,0.28078022240138173
114-206,1665-8b2e6296,Hobsonville Point Primary School,4,-36.79313,174.66098,0.818407960199005,0.4015792281710609
114-206,1647-bba0c1b4,Hobsonville Point Secondary,5,-36.79512,174.65646,3.7241293532338307,1.6599068372406895
114-206,5809-9b1e4154,Hobsonville War Memorial Park,6,-36.79797,174.64924,0.7243781094527364,0.3239622440596559
114-206,5985-91588148,New World Hobsonville,7,-36.79919,174.6458,3.8616915422885576,1.141036877529413
114-206,5840-9c49581d,Kingsway Road,8,-36.78258,174.64391,2.9818407960199003,1.2730718943789618
114-206,1567-7b835d4d,Bill Moir Reserve,9,-36.77958,174.63652,0.9736318407960199,0.41881666584513594
114-206,5999-2bd622bd,Karaka Road,10,-36.77786,174.63038,2.692537313432836,1.1554536823791501
114-206,1636-a156b1ca,Dale Road,11,-36.789,174.61422,0.9313432835820895,0.3605908716691728
114-206,5929-e7e67ea0,Whenuapai Town Centre,12,-36.79178,174.61333,4.141542288557214,1.6993964040531646
114-206,5815-bd020b7f,Cyril Crescent,13,-36.81632,174.62371,1.3002487562189056,0.6361099012646316
114-206,5817-22a40efb,Hobsonville Road/Fitzherbert Avenue,14,-36.81728,174.61979,2.446268656716418,0.7036138657138232
114-206,5807-52d026d4,Oreil Avenue,15,-36.81806,174.61705,1.4507462686567165,0.6076710392144993
114-206,5991-fe74ede0,Tawhia Drive/Rotu Drive,16,-36.81856,174.60801,0.9634328358208955,0.4641417454402062
114-206,5941-0575e04d,NorthWest Shopping Centre,17,-36.81628,174.6106,1.2,0.570101360724971
114-206,1664-050073b5,Hobsonville Point Primary School,18,-36.79262,174.66124,0.6333333333333333,0.30997726222842076
114-206,1530-0c80e3f9,Isitt Road,19,-36.7903,174.66317,0.65,0.3216980440499991
114-206,1600-014e6544,Hudson Bay Road/Buckley Avenue,20,-36.78836,174.66585,1.3333333333333333,0.5181305473555998
114-206,5883-d620d9de,Hobsonville Point Terminal,21,-36.78861,174.67166,,
116-206,5959-cc4bb279,Kedgley Road/Maki Street,1,-36.81504,174.60964,1.8484848484848484,0.430010820166802
116-206,5990-ad2ea439,Tawhia Drive/Kohuhu Lane,2,-36.81876,174.60832,1.6919191919191918,0.46886260975732436
116-206,1592-5cb98cf9,Stop C Westgate,3,-36.82239,174.611,6.178282828282828,1.4623987754896444
116-206,5736-3356463e,Fred Taylor Drive/Kakano Road,4,-36.81438,174.59797,2.481313131313131,0.6253439957354647
116-206,5746-1b8a3e0b,Kawakawa Place,5,-36.80876,174.59823,2.341414141414141,0.6745888229965391
116-206,5710-95a1cd20,Maki Street,6,-36.80835,174.60579,2.4196969696969695,0.6630857222287214
116-206,5733-675895cc,Westgate Lifestyle Shopping Centre,7,-36.81375,174.60895,0.8010101010101011,0.22662731243961545
116-206,5971-6016804b,Te Hauauru Park,8,-36.81575,174.60944,0.7227272727272728,0.11889532755607839
116-206,5941-0575e04d,NorthWest Shopping Centre,9,-36.81628,174.6106,,
11T-202,5959-cc4bb279,Kedgley Road/Maki Street,1,-36.81504,174.60964,2.1302927927927926,0.499163241574373
11T-202,5990-ad2ea439,Tawhia Drive/Kohuhu Lane,2,-36.81876,174.60832,1.2626126126126127,0.4073780102113183
11T-202,1592-5cb98cf9,Stop C Westgate,3,-36.82239,174.611,0.9070945945945946,0.24510163998933707
11T-202,1590-890fe95b,Maki Street South,4,-36.82214,174.61345,1.1456081081081082,0.32729031760219696
11T-202,1588-98d54bcf,Tihema Lane,5,-36.82454,174.61543,1.5186936936936937,0.37037632349486355
11T-202,1586-da659255,Alloway Street,6,-36.82756,174.61553,0.7200450450450451,0.34722398629999285
11T-202,1526-c319f285,Mcwhirters Farm Lane,7,-36.83061,174.61592,0.4808558558558559,0.2018397022556045
11T-202,5580-f87eba88,Royal Road School,8,-36.83183,174.61714,0.7844594594594594,0.35353201040773297
11T-202,5949-92e4f3cc,Kasia Close,9,-36.83538,174.61829,0.7980855855855856,0.3588253811139064
11T-202,5630-ece793dd,Lincoln Park Avenue,10,-36.83969,174.62015,0.7125,0.35820155408127086
11T-202,5628-a38f1e08,Doone Place,11,-36.84314,174.62341,0.6046171171171171,0.3186398360468879
11T-202,5626-990996fa,Huruhuru Road,12,-36.84462,174.62541,1.7351351351351352,0.48553888642628723
11T-202,5930-a1619920,Stop G Lincoln Bus Interchange,13,-36.84889,174.63141,0.7668918918918919,0.22904230193258135
11T-202,5901-853b2260,Stop A Lincoln Bus Interchange,14,-36.84734,174.63172,3.0161036036036037,1.2224181882746579
11T-202,5096-07314091,Stop A Te Atatu Bus Interchange,15,-36.85589,174.65152,8.13018018018018,3.0833856370822073
11T-202,8131-3cc7ec8a,Great North Road/Pt Chevalier Shops,16,-36.87007,174.71128,0.6277027027027028,0.3052517730422659
11T-202,8129-39943bed,Walmer Road,17,-36.86927,174.71295,0.7254504504504504,0.3315999469196345
11T-202,8127-33d8995c,Pasadena Shops,18,-36.86837,174.71626,0.6087837837837837,0.2624023399196418
11T-202,8125-0b23e96e,Auckland Zoo,19,-36.8679,174.7197,0.7926801801801802,0.3403662009993471
11T-202,8123-af1d2f39,Western Springs Park,20,-36.86808,174.72488,5.62240990990991,2.8591790843888623
11T-202,8121-2a2cd206,Great North Road/MOTAT,21,-36.86769,174.72851,2.8663288288288284,1.1675995228550877
11T-202,8119-e41c6252,Bullock Track,22,-36.86614,174.73094,1.0036036036036036,0.3283964950043601
11T-202,8117-0671251b,Great North Road/Grey Lynn School,23,-36.86389,174.73492,1.5376126126126126,0.5214077589123499
11T-202,8115-d510785e,Great North Road/Grey Lynn Shops,24,-36.86575,174.73768,0.7081081081081081,0.2751764241086089
11T-202,8113-669001e8,St Joseph's Church,25,-36.86681,174.739,0.706981981981982,0.2645678845452066
11T-202,8111-90faa379,Northland Street,26,-36.86646,174.74103,1.0524774774774777,0.41503243131043616
11T-202,8107-c8de6594,King Street,27,-36.86466,174.74637,0.9996621621621621,0.38312353175323877
11T-202,8105-5b355394,Sussex Street,28,-36.86285,174.74871,0.6878378378378378,0.22371589524694527
11T-202,8103-aa6d2901,Burns Street,29,-36.86143,174.75049,0.6850225225225226,0.2228839467438633
11T-202,8101-29d73840,Ponsonby Road,30,-36.86022,174.75198,1.019707207207207,0.39517257998985045
11T-202,7135-b1ba3584,Rainbow Bridge/Karangahape Road,31,-36.85805,174.75639,0.7751126126126127,0.29538911536356655
11T-202,7133-173774ea,Pitt Street,32,-36.85773,174.75968,0.9253378378378377,0.29544496840916806
11T-202,7061-10099e39,Queen Street/Myers Park,33,-36.85603,174.76216,0.7074324324324325,0.24541037396887017
11T-202,7059-607e2a63,Auckland Town Hall,34,-36.85342,174.76334,1.1581081081081082,0.46000691428536594
11T-202,7053-154c6c71,Wellesley Street,35,-36.8499,174.7649,0.919481981981982,0.34837799608551695
11T-202,7049-24767414,Vulcan Lane,36,-36.84682,174.76591,,
11W-202,1005-c105552e,Stop D Lower Albert,1,-36.84353,174.76571,2.085731414868105,0.49369074779391775
11W-202,7030-621caa72,Victoria Street West,2,-36.84762,174.76188,1.2827338129496404,0.4122436979451749
11W-202,7082-6e0c4fef,St Matthews-in-the-City,3,-36.85056,174.76061,1.062589928057554,0.2951361604170354
11W-202,7084-4da5d2dd,Nicholas Street,4,-36.85275,174.75929,1.202757793764988,0.33841300716042383
11W-202,1524-2e7e0ebb,YMCA,5,-36.85574,174.75885,1.7857314148681056,0.41337357289892945
11W-202,7136-7b4dffe1,Rainbow Bridge/Karangahape Road,6,-36.85839,174.75573,0.570863309352518,0.27708987428594434
