route_id,stop_id,stop_name,stop_sequence
309-221,6616-d9391329,Mahunga Drive,10
309-221,6614-8f710b30,Waterview Road,11
309-221,6948-d0430328,Hall Avenue,12
309-221,6724-52da1217,McKenzie Road,13
309-221,6726-d3bb4f23,Mountain View School,14
309-221,6728-d58c54fe,Miller Road,15
309-221,6718-1a9f4a1e,Kapuka Road,16
309-221,6716-f390ace9,Pikitea Road,17
309-221,6714-f5d8c53b,Wellesley Road,18
309-221,6712-c331bd55,Taylor Road,19
309-221,6706-e2e5a802,Sullivan Avenue,20
309-221,6708-833d9a1c,Ambury Road,21
309-221,6710-c4c2ec2e,Ashcroft Avenue,22
309-221,6704-f45bcd9d,Yorkton Rise,23
309-221,6707-8556ab31,Seaforth Avenue,24
309-221,6700-ccfd3143,Kiwi Esplanade,25
309-221,6698-d7a03c62,Wallace Road,26
309-221,6696-cd2c1f47,Scott Avenue,27
309-221,6694-05357da5,Coronation Road,28
309-221,6687-c3285fdd,Crawford Avenue,29
309-221,1428-6f648ff5,Gloucester Park,30
309-221,1040-cf3cfcd1,Onehunga Station,31
309-221,8581-e25bb08a,Stop A Onehunga,32
309-221,1867-9d6fc05c,George Terrace,33
309-221,8737-b147efbe,Beachcroft Avenue roundabout,34
309-221,1727-fb39098f,Arthur Street,35
309-221,8962-ebf0852e,Bel Air Drive,36
309-221,8761-e396191f,Korma Road,37
309-221,8759-e60bf62a,The Warehouse Royal Oak,38
309-221,8757-4aacbfc0,Pah Road/Mount Albert Road,39
309-221,8755-baff0328,Hollywood Avenue,40
309-221,8753-2e3ec7eb,Pah Road/Liverpool Street,41
309-221,8751-ce9cccb5,Pah Road/Greenwoods Corner,42
309-221,8715-0bbf060d,Banff Avenue,43
309-221,8713-db24eeaa,Gardner Road,44
309-221,8711-4c85b98b,King Edward Avenue,45
309-221,8709-99534b46,Kimberley Road,46
309-221,8707-ce2359d4,Ranfurly Road,47
309-221,8703-f0796b3a,Epsom Library,48
309-221,8701-917e305d,Manukau Road/Epsom Girls Grammar,49
309-221,7207-bfc319e4,St Marks Road,50
309-221,7205-e1b07628,Clovernook Road,51
309-221,7203-52127399,Stop A Westfield Newmarket,52
309-221,7201-b3efdf9d,Khyber Pass Road,53
309-221,7177-4660a5ff,Melrose Street,54
309-221,7175-9bcf7fd5,Khyber Pass Road/Mountain Road,55
309-221,7171-70aedbfa,Madeira Place,56
309-221,7151-93995941,Symonds Street/Upper Symonds Street,57
309-221,7063-56c065c6,Queen Street/Karangahape Road,58
309-221,7055-8c84c05a,Stop E The Civic,59
939-203,7145-caabaedd,Waterloo Quadrant,1
939-203,7141-d8af5868,Anzac Avenue/Beach Road,2
939-203,7016-875f30cb,Stop A Britomart Queens Arcade,3
939-203,7034-7b36cf5b,Bradnor Lane,4
939-203,7036-f1ffa0be,Fanshawe Street/Victoria Park,5
939-203,4007-a83340d0,Stafford Park,6
939-203,4009-056e9fbd,Stafford Road/Stafford Road Shops,7
939-203,4088-48a1f624,Belle Vue Street,8
939-203,4074-7874377f,Northcote Primary School,9
939-203,4076-af729862,St Mary's Catholic Church,10
939-203,4078-48253b25,Onewa Road/Northcote College,11
939-203,4080-a0eeb155,Park Avenue,12
939-203,4082-99e2cd3a,Aorangi Place,13
939-203,4084-21e50969,Birkenhead Avenue,14
939-203,4028-381f8e18,Waratah Street,15
939-203,4026-61f69c2e,Recreation Drive,16
939-203,4024-237d686b,Coroglen Avenue,17
939-203,4022-ed5a6ffe,Glenfield Road/Eskdale Road,18
939-203,4020-9b397c06,Speedy Crescent,19
939-203,4018-7ef4a7b7,Coronation Road,20
939-203,3930-f6d97f0e,Roberts Road/Glenfield Road,21
939-203,3928-0a8f35be,Seaview Road,22
939-203,3926-b437bc30,Valley View Road,23
939-203,3793-8ec8cefd,Windy Ridge School,24
939-203,3791-a80edd3d,Beaudine Drive,25
939-203,3789-30faf6c2,Tamahere Drive,26
939-203,3918-45d5d569,Peach Road,27
939-203,3916-ead1684a,The Orchards Retirement Village,28
939-203,3785-d70b5c19,Easton Park Parade,29
939-203,3783-17dd3739,Kaipatiki Park,30
939-203,4101-a4a30978,Sunnyfield Crescent,31
195-203,1004-42737000,Stop C Lower Albert,1
195-203,7030-621caa72,Victoria Street West,2
195-203,7082-6e0c4fef,St Matthews-in-the-City,3
195-203,7084-4da5d2dd,Nicholas Street,4
195-203,1524-2e7e0ebb,YMCA,5
195-203,7136-7b4dffe1,Rainbow Bridge/Karangahape Road,6
195-203,7212-9f5ed9ad,Ponsonby Road/Karangahape Road,7
195-203,8886-d619bce2,Countdown Ponsonby,8
195-203,8888-4f30033c,Scanlan Street,9
195-203,8890-6ffa129c,Grey Lynn Park,10
195-203,8892-8d377176,Elgin Street,11
195-203,8894-84e3ceaa,Williamson Avenue/Great North Road,12
195-203,8118-170afaad,Great North Road/Grey Lynn School,13
195-203,8120-1485cc06,Bullock Track,14
195-203,8122-89235838,Western Springs Park & MOTAT,15
195-203,8124-c7d84961,Auckland Zoo,16
195-203,8126-d353d90c,Pasadena Shops,17
195-203,8128-bec6b4a3,Walmer Road,18
195-203,8130-197d3cff,Great North Road/Pt Chevalier Shops,19
195-203,8132-46c03167,Herdman Street,20
195-203,8134-fd417f44,Alford Street,21
195-203,8136-f36662e2,Waterview Methodist Church,22
195-203,8138-3f3dcfb1,Fairlands Avenue,23
195-203,8328-3114b70b,Blockhouse Bay Road/Great North Road,24
195-203,8330-3ede6305,Cradock Street,25
195-203,8332-ebb9cf85,Powell Street,26
195-203,8334-d261b935,Avondale Islamic Centre,27
195-203,8336-a2f310c2,Blockhouse Bay Road/Methuen Road,28
195-203,8338-723cb5a9,Chalmers Street,29
195-203,8340-6a187012,Acton Place,30
195-203,8342-bf56c30c,Blockhouse Bay Road/Glenavon Shops,31
195-203,8346-ec6c0481,Glenavon School,32
195-203,8348-32ee99c3,Blockhouse Bay Road/Matata Street,33
195-203,8350-34c5ce4c,Blockhouse Bay Road/Puketea Street,34
195-203,8354-76f8eda6,Rathlin Street,35
195-203,8356-c674baad,Stop D Blockhouse Bay,36
195-203,8584-e5ae2364,Stop B Blockhouse Bay,37
195-203,7138-dd2f943e,Endeavour Street,38
195-203,7126-cef97805,Mitchell Street,39
195-203,1656-fd789647,Connell Street,40
195-203,1658-76c48bb8,Craigavon Park,41
195-203,5224-9509ded4,Harrybrook Road,42
195-203,5226-c96de67b,Bishop Street,43
195-203,5240-c5d057da,Green Bay Shops,44
195-203,5242-d85de926,La Rosa Street,45
195-203,5144-a55afd2d,Vinceroy Place,46
195-203,5142-9c00e91e,Pinesong Retirement Village,47
195-203,5138-05b8022c,Avonleigh Road corner,48
195-203,5136-0b248538,Taupiko Place,49
195-203,5134-41ec66aa,Rahui Kahika Reserve,50
195-203,1649-2d43752c,Dolbear Street,51
195-203,1651-3c895b90,Stottholm Road,52
195-203,5159-c35031eb,South Lynn/Golf Road,53
195-203,5161-cbb55b52,The Grove,54
195-203,5165-012a651b,Arahoe School,55
195-203,5169-ee31f46e,Hutchinson Ave/Willerton Ave,56
195-203,5171-1da777c9,Hutchinson Avenue/Gardner Avenue,57
195-203,5173-31e5d052,New Lynn School,58
195-203,1643-2b14cc0d,West Edge,59
195-203,5914-233d0cdc,Stop E New Lynn,60
105-202,1005-c105552e,Stop D Lower Albert,1
105-202,7030-621caa72,Victoria Street West,2
105-202,7082-6e0c4fef,St Matthews-in-the-City,3
105-202,7084-4da5d2dd,Nicholas Street,4
105-202,1524-2e7e0ebb,YMCA,5
105-202,7134-3cc678cc,Rainbow Bridge/Karangahape Road,6
105-202,7212-9f5ed9ad,Ponsonby Road/Karangahape Road,7
105-202,7214-56f7c5db,Ponsonby Road/Western Park,8
105-202,8076-bf09e8e8,Ponsonby Road/Picton Street,9
105-202,8078-49d5c84a,Leighton Street,10
105-202,1024-e293ba7b,Richmond Road School,11
105-202,8082-7fa03888,Richmond Road Shops,12
105-202,8084-a238ebb0,St Paul's College,13
105-202,8086-08f33bb4,Woolworths Grey Lynn,14
105-202,8088-00d7c4d9,Peel Street,15
105-202,8090-9333fd33,West Lynn Shops,16
105-202,1704-5d92960c,Surrey Crescent,17
105-202,8481-cdeaf2cc,Surrey Crescent/Old Mill Road,18
105-202,8484-58711f06,Francis Street,19
105-202,8483-f30d8856,Garnet Road/Old Mill Road,20
105-202,8485-c433a927,Westmere School,21
105-202,8487-00f3da3d,Dorset Street,22
105-202,8491-4c2b3c12,Westmere Shops,23
105-202,8493-d8c9215b,Kotare Avenue,24
105-202,8495-d8b98d40,Cox's Bay Reserve,25
75-202,1061-66bf9107,Wynyard Quarter,1
75-202,1067-cfcee32d,Madden Street,2
75-202,1065-7eec1630,Daldy Street/Gaunt Street,3
75-202,1319-b41ddf26,Halsey Street/Victoria Park,4
75-202,1089-d1686dd6,International Convention Centre,5
75-202,7041-bbe05061,Wellesley Street/Federal Street,6
75-202,7088-d255c2d6,Auckland Art Gallery,7
75-202,7282-2f1160dd,Auckland Hospital Gate 4,8
75-202,1028-415317ed,Park Road/Auckland City Hospital,9
75-202,7230-e5a8431b,Grafton Station,10
75-202,8541-4701d941,Melrose Street,11
75-202,7180-d8879c11,Broadway,12
75-202,7400-cd37ea9e,Stop F Newmarket Station,13
75-202,7402-20e0a055,St Marks Church,14
75-202,7404-b0e6e6f6,St Marks Road,15
75-202,7406-86c58596,Community of St Luke,16
75-202,7408-2b117042,Ohinerau/Mount Hobson,17
75-202,7410-34b547d9,Market Road,18
75-202,7412-b6bed0d1,King's School,19
75-202,8538-2bb6dc6a,Remuera Shopping Centre,20
75-202,7414-cec4609d,Remuera Library,21
75-202,7416-a58e55da,Lochiel Road,22
75-202,7418-ea21eb43,Wairua Reserve,23
75-202,7420-00c7441c,Green Lane East,24
75-202,7422-beddf3d1,Remuera Road/Remuera Village Shops,25
75-202,7424-2c776042,Haast Street,26
75-202,7426-6b1b420c,Koraha Street,27
75-202,7428-f34cfb70,Waiatarua Road,28
75-202,7430-3cf0d40c,Remuera Road/Meadowbank Road,29
75-202,7432-878c3d93,Blackett Crescent,30
75-202,7434-ff8c4c9d,Purewa Cemetery,31
75-202,7436-8773f4fb,Dorchester Street,32
75-202,7438-45206abb,Truman Street,33
75-202,7440-710d994b,Summerset St Johns,34
75-202,7442-72e6bb1a,St Johns College,35
75-202,7590-f136351c,Felton Matthew Avenue,36
75-202,7843-672ae380,St Thomas' Church,37
75-202,8784-9c47a6be,Lintaine Place,38
75-202,7278-5998252c,Castledine Crescent,39
75-202,1830-79b4e2ce,PAK'nSAVE Glen Innes,40
75-202,7821-f47ec9af,Stop C Glen Innes Station,41
362-203,6778-c63b39ab,20 Waimai Avenue,1
362-203,6791-4fcdf0fc,McLeod Road,2
362-203,6789-84d6a295,Ocean View Road,3
362-203,6787-e269aa2a,Roys Road/Weymouth Road,4
362-203,6838-03013ba7,Greers Road,5
362-203,2237-9ece4055,Weymouth School,6
362-203,6783-fc22c9de,Gibbons Road,7
362-203,6781-e39d7d2d,Gila Place,8
362-203,2085-7baad1cd,Becker Drive,9
362-203,6777-8228545f,Oranga Tamariki Ministry for Children,10
362-203,6077-da253a0c,Roscommon Road/Weymouth Road,11
362-203,2263-45d1ab33,Roscommon Road/Sharland Avenue,12
362-203,6857-e240bc11,Wordsworth Road/Roscommon Road,13
362-203,6855-49da7083,Pallant Street,14
362-203,6853-f193e4af,John Walker Drive,15
362-203,2361-784b7711,Rowandale School,16
362-203,2115-9ea9e822,Rowandale Avenue/Sharland Avenue,17
362-203,2157-d82958b7,Rowandale Avenue/Weymouth Road,18
362-203,2229-7adfd186,Gainsborough Street,19
362-203,2125-cb954b1b,Weymouth Road/Friedlanders Road,20
362-203,6769-35bd31b4,Weymouth Road/Clendon Pl,21
362-203,6767-90884014,Bowater Place,22
362-203,6048-79f366f2,Stop A Manurewa Station,23
362-203,2294-ab2a1225,Station Road,24
362-203,2471-f6256c3d,Maich Road,25
362-203,6041-9e598807,Corin Avenue,26
362-203,6039-f31b6407,Halsey Road,27
362-203,6037-783228e2,Great South Road/Grande Vue Road,28
362-203,6035-7936fb29,Manukau SuperClinic,29
362-203,6033-93563273,Kerrs Road,30
362-203,2143-4ac94b16,Events Centre,31
362-203,1817-21c13850,Bay 17 Manukau Bus Station,32
83-203,3568-f27e3073,Stop B Takapuna,1
83-203,3630-18b4c142,Barrys Point Road,2
83-203,3302-146cd6d7,St Joseph's Catholic Church,3
83-203,3304-e798502b,Rangitira Avenue,4
83-203,3306-b38cd911,Shea Terrace,5
83-203,3355-dbd9aecd,Stop B Smales Farm,6
83-203,3221-7da3d572,Stop B Sunnynook,7
83-203,4225-d1316454,Stop C Constellation,8
83-203,3200-e5a96567,Vega Place,9
83-203,3198-7a40af91,Atlas Place,10
83-203,3196-5a702e51,Constellation Drive/Apollo Drive,11
83-203,3169-fb9d5f27,Maxwelton Drive/East Coast Road,12
83-203,3167-16781ab9,Amante Crescent,13
83-203,4288-f60cd5ab,Mairangi Bay Park,14
83-203,3165-c2b65de6,Woolworths Mairangi Bay,15
83-203,3158-984d1ab1,Mairangi Bay Shops,16
83-203,3156-f58e4063,Jutland Street,17
83-203,3154-2046365e,Sunrise Avenue,18
83-203,3152-6b8c6b49,Lyons Avenue,19
83-203,3114-ef98d1bb,Murrays Bay Beach,20
83-203,3116-3d4c9ef2,Kwang Lim Methodist Church,21
83-203,3110-e168eaa6,Rothesay Bay Shops,22
83-203,3108-9864376e,Leithway Road,23
83-203,3106-4eadf700,Browns Bay Road,24
83-203,3101-f8612a49,Masterton Road,25
83-203,3103-485d62a0,Browns Bay School,26
83-203,3105-124d9f07,Beechwood Road,27
83-203,3122-274030a1,Browns Bay Shops,28
83-203,4400-4e8cd0f3,East Coast Bays Library,29
83-203,3124-ecd4cade,Bute Road/Beach Road,30
83-203,3098-9a7c6659,Woodlands Crescent,31
83-203,3090-71522546,Woodlands Crescent,32
83-203,3046-8d08a637,Firth Road,33
83-203,3048-a66c9a0f,Finchley Road,34
83-203,3050-5db5520d,Barker Rise,35
83-203,3052-5503eb0e,Carlisle Road/Northcross Shops,36
83-203,4512-74c0cfd4,Mayfair Village,37
83-203,3184-95522733,Rising Parade,38
83-203,3186-045556e7,Oteha Valley School,39
83-203,4227-0e16a7e9,Stop C Albany Bus Station,40
83-203,4299-45745e03,Munroe Lane,41
83-203,4260-547b67da,Westfield Albany,42
83-203,3742-a592e76b,Civic Crescent,43
83-203,3587-5ce383f6,Northridge Plaza,44
83-203,3586-e968aba6,Albany Mega Centre,45
83-203,4245-15eb5db8,North Harbour Stadium,46
83-203,4214-230439df,Massey University,47
18-202,5914-233d0cdc,Stop E New Lynn,1
18-202,1546-33fd8055,Lynnmall - The Brickworks,2
18-202,5779-c6aeef3f,Portage Road,3
18-202,8151-20dc80d1,St Mary's School,4
18-202,1869-5e6c53e2,St Jude Street,5
18-202,8149-2cc6f1a3,Stop A Avondale,6
18-202,8147-58c872f4,Avondale Police Station,7
18-202,8145-8a0f9a34,Great North Road/Victor Street,8
18-202,8143-3123975c,Great North Road/Roberton Road,9
18-202,8141-a4ce3936,Fairlands Avenue,10
18-202,8139-2a085b0f,Waterview Methodist Church,11
18-202,8137-924f9275,Alford Street,12
18-202,8133-4629fc99,Herdman Street,13
18-202,8131-3cc7ec8a,Great North Road/Pt Chevalier Shops,14
18-202,8129-39943bed,Walmer Road,15
18-202,8127-33d8995c,Pasadena Shops,16
18-202,8125-0b23e96e,Auckland Zoo,17
18-202,8123-af1d2f39,Western Springs Park,18
18-202,8121-2a2cd206,Great North Road/MOTAT,19
18-202,8119-e41c6252,Bullock Track,20
18-202,8117-0671251b,Great North Road/Grey Lynn School,21
18-202,8115-d510785e,Great North Road/Grey Lynn Shops,22
18-202,8113-669001e8,St Joseph's Church,23
18-202,8111-90faa379,Northland Street,24
18-202,8107-c8de6594,King Street,25
18-202,8105-5b355394,Sussex Street,26
18-202,8103-aa6d2901,Burns Street,27
18-202,8101-29d73840,Ponsonby Road,28
18-202,7135-b1ba3584,Rainbow Bridge/Karangahape Road,29
18-202,7133-173774ea,Pitt Street,30
18-202,7065-5235e1c6,Scotia Place,31
18-202,7059-607e2a63,Auckland Town Hall,32
18-202,7053-154c6c71,Wellesley Street,33
18-202,7049-24767414,Vulcan Lane,34
942-203,3381-6ba5b057,Stop C Takapuna,1
942-203,3630-18b4c142,Barrys Point Road,2
942-203,4448-e18b593b,Des Swann Drive,3
942-203,4085-bb8679ba,Stop E Akoranga,4
942-203,4320-36286cb3,AUT North Shore Gate 2,5
942-203,3931-9ff77eb6,AUT North Shore Gate 1,6
942-203,3933-6c317424,Kitewao Street,7
942-203,4231-19b488a1,Akoranga Drive/Onewa Domain,8
942-203,3935-0278f1bd,Lindisfarne Reserve,9
942-203,3937-0726d5c2,Northcote Intermediate School,10
942-203,3941-52831690,Stop D Northcote,11
942-203,3943-bba77648,Exmouth Road,12
942-203,3945-d39d8f87,Kororo Street,13
942-203,3947-7706b346,Kawana Street,14
942-203,4074-7874377f,Northcote Primary School,15
942-203,4076-af729862,St Mary's Catholic Church,16
942-203,4078-48253b25,Onewa Road/Northcote College,17
942-203,4080-a0eeb155,Park Avenue,18
942-203,4082-99e2cd3a,Aorangi Place,19
942-203,4084-21e50969,Birkenhead Avenue,20
942-203,3901-2273ccaa,Highbury Shops,21
942-203,4106-08f45c4d,Birkenhead Square,22
942-203,4110-651b98e2,Willow Avenue,23
942-203,4210-0897c372,Roseberry Avenue,24
942-203,4013-e1e209c3,New World Birkenhead,25
942-203,4130-04adb43d,Balmain Road,26
942-203,4132-c8d174e5,Kauri Road,27
942-203,4134-b2f9e4dd,Verrans Corner,28
186-203,5910-8a72e090,Stop C New Lynn,1
186-203,1642-be7e85ca,West Edge,2
186-203,5916-e89009e1,Denyer Place,3
186-203,5918-7fdb7e9d,Seabrook Avenue/Gardner Avenue,4
186-203,5190-7df127a6,Seabrook Avenue/Willerton Avenue,5
186-203,5188-fb397538,Ryehill Close,6
186-203,5186-d51f8c94,Parker Avenue,7
186-203,5174-c5a97d7d,West Lynn Garden,8
186-203,5172-bc4eeef0,The Grove,9
186-203,5170-c2f3b230,South Lynn/Golf Road,10
186-203,5323-e5715a85,Golf Road Shops,11
186-203,5229-82c6dab6,Gilliam Street,12
186-203,5231-ffd8446b,Lantana Road,13
186-203,5919-d0001aac,Taupo Street,14
186-203,5187-9bad922f,Lawsons Corner,15
186-203,5189-74b86708,Blease Street,16
186-203,5191-b7f288f6,Hinau Street,17
186-203,5193-43d93351,Mayville Avenue,18
186-203,5195-a717b876,Glenburn Rest Home & Hospital,19
186-203,5909-e7b99234,Glenburn Retirement Village,20
186-203,1643-2b14cc0d,West Edge,21
186-203,5914-233d0cdc,Stop E New Lynn,22
95C-203,4220-cd525aea,Stop E Constellation,1
95C-203,3673-7b27aee1,Meadowood Drive,2
95C-203,3671-424caf14,93 Sunset Road,3
95C-203,3669-9f71b26e,Sunset Road/Trias Road,4
95C-203,3667-89ecb3e0,Caribbean Drive,5
95C-203,3665-d424a51e,Girrahween Drive,6
95C-203,3707-fe97c727,Sunset Road,7
95C-203,3709-b36b5b3e,Glenfield Road/James Street,8
95C-203,3871-11ebdb95,Glenfield Road/Wairau Road,9
95C-203,3873-a27af2f5,Hogans Road,10
95C-203,3875-7f281331,461 Glenfield Road,11
95C-203,4010-879b57fd,Glenfield Mall,12
95C-203,3883-bc470485,High Road,13
95C-203,3885-45741e02,Oruamo Domain,14
95C-203,3887-c636421d,Roberts Road,15
95C-203,3889-41f01a46,Coronation Road,16
95C-203,3891-c67c84fc,Speedy Crescent,17
95C-203,3893-d27746b8,McDowell Crescent,18
95C-203,3895-4f849362,Coroglen Avenue,19
95C-203,3897-3dcd3c1c,Pupuke Road,20
95C-203,3899-cec95e3b,Waratah Street,21
95C-203,3949-3e95acd9,Birkenhead Avenue,22
95C-203,3951-9f0b65bb,Aorangi Place,23
95C-203,3953-65d457e4,Park Avenue,24
95C-203,3955-edf582eb,Onewa Road/Northcote College,25
95C-203,3957-95f7701d,St Mary's Catholic Church,26
95C-203,3959-54a6c40a,Northcote Primary School,27
95C-203,3961-695cebe3,Bruce Street,28
95C-203,1315-1e8f2b03,Fanshawe Street/Victoria Park,29
95C-203,7142-fda95eea,Customs Street West,30
95C-203,1003-ea94d2b2,Stop B Lower Albert,31
983-221,4983-42530230,Stop C Hibiscus Coast,1
983-221,4835-5c329df9,Silverdale Rugby Club,2
983-221,4502-ada3e6f9,Silverdale Shops,3
983-221,4501-e031afd0,Silverdale Centre,4
983-221,4540-9d9bc60b,Millwater Parkway/Hibiscus Coast Highway,5
983-221,4912-855ced08,Totara Views Drive,6
983-221,4839-73f7da56,Jelas Road,7
983-221,4820-901e72f0,Pohutukawa Avenue,8
983-221,4696-5d58353d,Fairway Road,9
983-221,4694-e7803acf,Albatross Road,10
983-221,4692-fcab4097,Red Beach Shopping Centre,11
983-221,4691-82c510d9,Red Beach School,12
983-221,4690-88224a81,Albert Hall Drive/Red Beach Road,13
983-221,4688-ad46d018,Albert Hall Drive/Bay Vista Drive,14
983-221,4686-b633eb59,Lucy Foster Lane,15
983-221,4685-5d0bcdde,Bay Street/Bay Vista Drive,16
983-221,4683-bf6dbadf,Marie Avenue,17
983-221,4681-0e147b60,Bay Street/Marellen Drive,18
983-221,4676-1c3f8c07,Chelverton Terrace,19
983-221,4678-7d1884e4,Marellen Drive/Whangaparaoa Road,20
983-221,4666-c135ddca,Glenelg Road,21
983-221,4774-5d412eaa,Hibiscus Coast Community RSA,22
983-221,4772-f1665636,Springtime Crescent,23
983-221,4770-b96498c6,Brian Crescent,24
983-221,4768-13acf187,Carento Way,25
983-221,4766-2407a8da,Cooper Road,26
983-221,4764-a05fc8ee,Lea Place,27
983-221,4762-6110536a,Knott Road,28
983-221,4760-fa0ae991,Joydon Place,29
983-221,4765-db0fe0f7,Langton Road/Vipond Road,30
983-221,4654-2fab1aee,New World Whangaparaoa,31
983-221,4652-aea4dd82,Penton Road,32
983-221,4650-b1845360,Matai Road,33
983-221,4648-b30e4d1f,Red Hibiscus Road,34
983-221,4646-b8661041,Link Crescent,35
983-221,4644-67f27b66,Coast Plaza,36
983-221,4642-e8c55364,Whangaparaoa Road/Ladies Mile,37
983-221,4732-91899b2a,Little Barrier Avenue,38
983-221,4726-77ab1a4a,Whangaparaoa School,39
983-221,4725-c8539b27,Kawau Island Avenue/Ladies Mile,40
983-221,4722-1144d570,The Circle,41
983-221,4720-b0354519,Manly Park Avenue/Laurence Street,42
983-221,4719-59ac0dbd,Manly Park,43
983-221,4717-20137b74,Cross Street,44
983-221,4733-6f03f43e,Beach Road/Laurence Street,45
983-221,4735-867effa6,Beach Road/Manly Shops,46
983-221,4630-89b4ef18,Manly Fire Station,47
983-221,4628-30c46a1f,Tindalls Bay Road,48
983-221,4626-0035ffc8,Crown Road,49
983-221,4624-1a5fd9b2,Hardley Avenue,50
983-221,4622-a7c15dd1,Roberts Road,51
983-221,4620-caf3d70f,Gulf Harbour Drive,52
983-221,4715-a5cc8245,Kensington Terrace,53
983-221,4713-dbff7b2e,Regency Park Drive,54
983-221,4711-d2ee9fab,Wentworth College,55
72M-205,6233-47eb8987,Stop B Botany Town Centre,1
72M-205,6235-4b507972,Paradice Ice Skating,2
72M-205,6053-7d5d39dd,Botany Super Clinic,3
72M-205,6243-9d7b47ba,Botany Road,4
72M-205,1941-db59f005,Milhouse Medical Centre,5
72M-205,6210-e136c1fd,Millhouse Reserve,6
72M-205,6207-dd256bd1,Northpark Avenue,7
72M-205,6205-27e6c81c,Meadowlands Shopping Centre,8
72M-205,6201-e59bcbfb,Renway Rise,9
72M-205,6203-02c541da,Meadowland Reserve,10
72M-205,6259-9d8e1716,Currell Way,11
72M-205,6287-0c44683e,Sandspit Road/Howick College,12
72M-205,6285-ce110cb7,Cockle Bay School,13
72M-205,6276-05a44382,Bemrose Place,14
72M-205,6278-3b0f954f,Churchill Road,15
72M-205,6281-998bdff7,Island View Terrace,16
72M-205,6277-9f44c41e,Howick Beach,17
72M-205,6279-9e09a8f7,Nixon Centennial Park,18
72M-205,6267-aa3109fd,Howick Village,19
72M-205,6463-2f7d1c08,Wellington Street,20
72M-205,6260-96b63b31,Bleakhouse Road,21
72M-205,6258-f8ac6f30,Howick Medical Centre,22
72M-205,6918-468bc826,Vincent Street,23
72M-205,6075-701d470b,Pakuranga Road/Howick Intermediate,24
72M-205,6073-d57c41cc,Angelo Avenue,25
72M-205,6071-b9f62d00,Highland Park Pakuranga Road,26
72M-205,6069-e4e04e9d,Pakuranga College,27
72M-205,2439-e2d696e1,Pakuranga Road/Lloyd Elsmore Park,28
72M-205,6067-009346f3,Cascades Road,29
72M-205,6065-baff0dee,Gossamer Drive,30
72M-205,6063-c3f2a3cb,Johns Lane,31
72M-205,6823-fae6fd06,St Kentigern College,32
72M-205,6060-1fa40e8a,Pakuranga Plaza,33
72M-205,6125-cf3235f8,Williams Avenue,34
72M-205,1760-317dbc99,Stop A Panmure Station,35
RBO-402,7400-cd37ea9e,Stop F Newmarket Station,1
RBO-402,7604-e83cbec4,Great South Road/Market Road,2
RBO-402,7612-5df8f095,Countdown Greenlane,3
RBO-402,1745-ddfe3bb8,Stop D Ellerslie,4
RBO-402,8692-a087b5ee,Penrose Station/Station Road,5
RBO-402,8165-09a899c1,Te Papapa,6
RBO-402,1039-4731e87c,Onehunga Station,7
324-221,6955-d08738e8,Mangere Town Centre,1
324-221,6626-99ecc68e,Mangere Baptist Church,2
324-221,6567-d96b83f4,Papatuanuku Kokiri Marae,3
324-221,6586-fbaace84,Pike Place,4
324-221,6588-c9dc4343,Mckinstry Avenue/McNaughton Avenue,5
324-221,2492-2f191f9d,Cottingham Crescent,6
324-221,2444-a12ba0e6,Bicknell Road,7
324-221,2495-a98b8de0,Otago Place,8
324-221,2489-4c5993b3,Freda Place,9
324-221,6599-c7b7d96a,Tinkler Place,10
324-221,6597-db0c72f5,Favona Road,11
324-221,2418-21b8bd3f,Norana Avenue,12
324-221,6302-a3fa9689,Harania Creek,13
324-221,6991-be057e83,Beach Road,14
324-221,2412-64bbc6d1,Kahu Street,15
324-221,6989-2b1837ad,Tui Street,16
324-221,1777-3e02a2cf,Stop B Otahuhu Station,17
324-221,7952-fe4f53b2,Otahuhu Library,18
324-221,1356-0146ace9,Stop B Otahuhu Town Centre,19
324-221,8580-4a083cd1,Church Street,20
324-221,8582-019a754e,Princes Street/Hutton Street,21
324-221,8570-f2a073a9,Albert Street,22
324-221,8576-f045ed55,Fencible Place,23
324-221,8578-2ca74c68,Brady Road,24
324-221,7847-499f6efc,Seaside Park,25
396-203,2850-3422d278,Pukekohe Station,1
396-203,2928-c49936fe,Pukekohe Library,2
396-203,2883-55b694d7,Patumahoe Village,3
396-203,2923-15df4251,Masters Road,4
396-203,2921-7fced946,279 Kitchener Road,5
396-203,2919-207115aa,Country Club Lane,6
396-203,2827-90b24725,Hamilton Drive,7
396-203,2825-7b5226b9,Waiuku Golf and Squash Club,8
396-203,2932-3ce846f3,Waiuku Town Centre,9
396-203,2866-40a4fbfb,Civic Place,10
396-203,2924-9664063b,Colombo Road,11
396-203,2922-3c0ff5a6,Springvale Road,12
396-203,2920-2acb09be,170 Colombo Road,13
82-202,7038-5a158f6f,AUT,1
82-202,1332-06829269,SkyCity Auckland,2
82-202,1088-d1b8ae2b,International Convention Centre,3
82-202,1334-c70b5c82,Halsey Street/Victoria Park,4
82-202,7036-f1ffa0be,Fanshawe Street/Victoria Park,5
82-202,3708-b142a6a0,Harbourside Church,6
82-202,3515-48333961,Esmonde Road,7
82-202,3547-2f0b3731,Burns Avenue/Bracken Avenue,8
82-202,3568-f27e3073,Stop B Takapuna,9
82-202,3298-b433065e,Anzac Street,10
